Id,cluster_exp0,cluster_exp1,cluster_exp2,cluster_exp3,cluster_exp4,cluster_exp5,cluster_exp6,cluster_exp7,cluster_exp8,cluster_exp9,cluster_exp10,cluster_exp11,cluster_exp12,cluster_exp13,cluster_exp14,cluster_exp15,cluster_exp16,cluster_exp17,cluster_exp18,cluster_exp19,cluster_exp20,cluster_exp21,cluster_exp22,cluster_exp23,cluster_exp24,cluster_exp25,cluster_exp26,cluster_exp27,cluster_exp28,cluster_exp29,cluster_exp30,cluster_exp31,cluster_exp32,cluster_exp33,cluster_exp42,cluster_exp43,cluster_exp44,cluster_exp45,cluster_exp46,cluster_exp47,cluster_exp48,cluster_exp49,cluster_exp50,cluster_exp51,cluster_exp52,cluster_exp53,cluster_exp54,cluster_exp55,cluster_exp56,cluster_exp57,cluster_exp58,cluster_exp59,cluster_exp60,cluster_exp61,cluster_exp62,cluster_exp63,cluster_exp64,cluster_exp65,cluster_exp66,cluster_exp67,cluster_exp68,cluster_exp69,cluster_exp70,cluster_exp71,cluster_exp72,cluster_exp73,cluster_exp74,cluster_exp75,cluster_exp76,cluster_exp77,cluster_exp78,cluster_exp79,cluster_exp80,cluster_exp81,cluster_exp82,cluster_exp83,cluster_exp84,cluster_exp90,cluster_exp91,cluster_exp92,cluster_exp93,cluster_exp98,cluster_exp99,cluster_exp100,cluster_exp101,cluster_exp102,cluster_exp103,cluster_exp104
0xbd3a6660309fb9e0129b9b777a9ccb9c2869dc,4.0,24.0,18.0,16.0,76.0,3.0,8.0,7.0,3.0,10.0,-1.0,-1.0,-1.0,-1.0,1.0,13.0,23.0,52.0,64.0,3.0,4.0,13.0,10.0,49.0,0.0,7.0,39.0,51.0,24.0,0.0,11.0,6.0,40.0,21.0,1.0,5.0,6.0,20.0,28.0,1.0,11.0,1.0,32.0,69.0,0.0,4.0,25.0,0.0,29.0,1.0,3.0,6.0,5.0,56.0,1.0,24.0,3.0,16.0,76.0,2.0,24.0,22.0,56.0,35.0,1.0,5.0,32.0,19.0,5.0,1.0,12.0,28.0,7.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,2.0,0.0,292.0,226.0,1.0,1.0
0x728f2548559e2aacae8b6b01fc39ff72771ff8be,4.0,1.0,30.0,16.0,62.0,3.0,0.0,0.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,4.0,6.0,24.0,30.0,2.0,3.0,24.0,1.0,10.0,13.0,0.0,23.0,40.0,38.0,33.0,0.0,9.0,22.0,6.0,49.0,0.0,24.0,25.0,19.0,25.0,2.0,6.0,38.0,2.0,42.0,1.0,17.0,17.0,16.0,61.0,4.0,12.0,33.0,57.0,75.0,0.0,1.0,11.0,27.0,67.0,1.0,1.0,7.0,12.0,8.0,1.0,9.0,2.0,12.0,11.0,0.0,9.0,5.0,50.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,123.0,0.0,292.0,227.0,3.0,0.0
0xccc003f10b7278d86fbe56f5c40d1feb4d2b9e40,1.0,17.0,16.0,2.0,37.0,3.0,8.0,3.0,11.0,11.0,-1.0,-1.0,-1.0,-1.0,1.0,15.0,0.0,2.0,69.0,3.0,18.0,22.0,46.0,11.0,4.0,13.0,11.0,48.0,51.0,0.0,9.0,22.0,10.0,40.0,1.0,19.0,38.0,62.0,0.0,3.0,0.0,14.0,30.0,19.0,0.0,23.0,13.0,1.0,77.0,0.0,9.0,29.0,12.0,52.0,2.0,24.0,9.0,42.0,37.0,4.0,16.0,14.0,29.0,77.0,2.0,0.0,14.0,30.0,52.0,3.0,6.0,23.0,41.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,123.0,0.0,292.0,228.0,3.0,0.0
0x503ed50534614193fcd085c5de01728a4824822,4.0,1.0,30.0,2.0,52.0,3.0,0.0,0.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,4.0,13.0,9.0,39.0,4.0,3.0,9.0,41.0,8.0,29.0,0.0,0.0,22.0,5.0,50.0,2.0,0.0,1.0,25.0,82.0,1.0,14.0,18.0,36.0,30.0,1.0,4.0,10.0,61.0,70.0,0.0,18.0,34.0,30.0,77.0,1.0,7.0,10.0,62.0,8.0,2.0,4.0,19.0,20.0,84.0,2.0,7.0,39.0,42.0,32.0,2.0,0.0,18.0,56.0,82.0,1.0,11.0,36.0,10.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,124.0,0.0,292.0,229.0,20.0,0.0
0x8bb18f1eeb8d170f4edfe2c5d008986171b4e572,4.0,1.0,30.0,16.0,62.0,3.0,0.0,0.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,3.0,10.0,21.0,10.0,6.0,4.0,24.0,39.0,31.0,4.0,3.0,13.0,11.0,8.0,40.0,2.0,19.0,18.0,8.0,2.0,1.0,17.0,8.0,44.0,53.0,1.0,11.0,21.0,32.0,69.0,0.0,11.0,13.0,37.0,37.0,1.0,3.0,41.0,25.0,14.0,1.0,18.0,21.0,6.0,40.0,2.0,24.0,15.0,56.0,35.0,2.0,10.0,25.0,12.0,40.0,1.0,12.0,36.0,7.0,72.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,21.0,0.0,292.0,230.0,5.0,17.0
0x7252b4ed5bb3fe6cdeb501bb65a7a24eb056a09a,4.0,1.0,30.0,16.0,62.0,3.0,0.0,0.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,1.0,20.0,35.0,45.0,73.0,1.0,5.0,20.0,15.0,42.0,3.0,0.0,27.0,45.0,26.0,0.0,11.0,2.0,12.0,13.0,2.0,21.0,3.0,44.0,70.0,2.0,8.0,8.0,44.0,11.0,3.0,11.0,9.0,35.0,33.0,4.0,16.0,19.0,49.0,7.0,2.0,24.0,17.0,6.0,40.0,1.0,9.0,8.0,23.0,12.0,1.0,5.0,25.0,30.0,7.0,4.0,9.0,12.0,1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,21.0,0.0,299.0,231.0,5.0,17.0
0x1aff1e0f1d5f76f92145a278d8c31af9ade783dd,2.0,24.0,14.0,2.0,75.0,1.0,10.0,12.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,18.0,10.0,36.0,6.0,4.0,16.0,42.0,22.0,41.0,3.0,2.0,3.0,15.0,8.0,1.0,20.0,40.0,11.0,46.0,1.0,14.0,8.0,62.0,41.0,3.0,23.0,26.0,30.0,35.0,0.0,8.0,34.0,30.0,0.0,0.0,8.0,17.0,12.0,52.0,2.0,6.0,11.0,42.0,62.0,4.0,16.0,14.0,57.0,77.0,2.0,0.0,14.0,30.0,52.0,3.0,6.0,4.0,41.0,64.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,11.0,0.0,292.0,232.0,1.0,1.0
0xc45532c436458e980a22951b3050c82a79709f69,4.0,1.0,30.0,16.0,62.0,3.0,0.0,0.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,1.0,11.0,23.0,39.0,11.0,3.0,17.0,37.0,1.0,35.0,3.0,13.0,2.0,7.0,73.0,0.0,7.0,5.0,21.0,22.0,0.0,21.0,41.0,32.0,57.0,1.0,15.0,15.0,22.0,7.0,3.0,11.0,37.0,4.0,32.0,1.0,18.0,41.0,43.0,56.0,0.0,12.0,21.0,11.0,67.0,2.0,7.0,39.0,42.0,33.0,1.0,6.0,26.0,26.0,34.0,1.0,11.0,36.0,7.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,125.0,0.0,302.0,233.0,11.0,35.0
0x20d5a37486b4fca7739fe20f54a6c4fdb95d0fad,4.0,1.0,30.0,16.0,62.0,3.0,0.0,0.0,10.0,7.0,-1.0,-1.0,-1.0,-1.0,4.0,3.0,15.0,6.0,75.0,1.0,0.0,7.0,19.0,41.0,1.0,11.0,36.0,18.0,62.0,0.0,18.0,0.0,31.0,19.0,0.0,21.0,29.0,32.0,26.0,1.0,4.0,10.0,61.0,70.0,2.0,6.0,7.0,3.0,11.0,1.0,7.0,10.0,62.0,64.0,0.0,12.0,36.0,14.0,30.0,2.0,7.0,40.0,50.0,33.0,1.0,11.0,15.0,0.0,6.0,1.0,19.0,36.0,10.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,125.0,0.0,302.0,234.0,7.0,35.0
0x6bf36c9597c5d48ebab8487a844bc11be68ff059,4.0,1.0,30.0,16.0,62.0,3.0,0.0,0.0,10.0,7.0,12.0,7.0,12.0,7.0,1.0,19.0,35.0,51.0,65.0,3.0,12.0,14.0,17.0,25.0,2.0,8.0,40.0,26.0,17.0,1.0,9.0,13.0,16.0,47.0,4.0,3.0,2.0,1.0,5.0,4.0,2.0,5.0,4.0,0.0,4.0,15.0,4.0,6.0,10.0,2.0,2.0,1.0,2.0,2.0,4.0,21.0,33.0,39.0,65.0,3.0,15.0,33.0,34.0,67.0,3.0,15.0,31.0,33.0,79.0,2.0,16.0,15.0,63.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,126.0,7.0,7.0,235.0,27.0,36.0
